,City,Lat,Max Temp,Humidity,Cloudliness,Wind Speed,Country
0,Cumana,10.46,84.04,69,92,6.44,VE
1,Saint-Philippe,-21.36,68.0,64,90,8.05,RE
2,Puerto Ayora,-0.74,75.2,69,75,16.11,EC
3,Kahului,20.89,75.0,64,1,6.93,US
4,Ushuaia,-54.8,35.6,74,84,3.36,AR
5,Sayyan,15.17,68.59,53,85,6.44,YE
6,Adrar,20.5,111.02,9,9,8.7,MR
7,Leningradskiy,69.38,57.4,48,100,4.03,RU
8,Dikson,73.51,40.98,92,1,5.84,RU
9,Khani,41.96,75.2,78,40,9.17,GE
10,Atuona,-9.8,79.41,76,22,19.64,PF
11,Rawson,-43.3,42.35,64,100,13.71,AR
12,Christchurch,-43.53,46.0,81,2,25.28,NZ
13,Bubaque,11.28,80.87,81,31,11.21,GW
14,Ginda,30.69,62.64,78,22,2.73,IN
15,Port Alfred,-33.59,62.67,84,0,4.36,ZA
16,Carballo,43.21,87.8,57,20,5.82,ES
17,Poconé,-16.26,95.79,17,0,7.43,BR
18,Hasaki,35.73,75.2,94,75,4.7,JP
19,Nikolskoye,59.7,66.2,55,20,17.9,RU
20,Castro,-24.79,73.47,48,67,6.08,BR
21,Plettenberg Bay,-34.05,59.61,78,0,3.44,ZA
22,Hilo,19.73,69.8,73,1,5.82,US
23,Rikitea,-23.12,67.39,57,100,13.6,PF
24,Orcopampa,-15.27,57.7,29,0,4.18,PE
25,Punta Arenas,-53.15,26.6,92,75,8.05,CL
26,Chicama,-7.84,71.98,56,19,10.78,PE
27,Camacupa,-12.02,66.88,27,0,4.21,AO
28,Inhambane,-23.86,66.2,63,20,9.17,MZ
29,Mataura,-46.19,39.0,83,96,3.0,NZ
30,Albany,42.6,84.0,56,46,3.98,US
31,Wakefield,53.68,66.99,60,98,1.99,GB
32,Praia da Vitória,38.73,75.2,60,40,5.06,PT
33,Kita,13.03,81.63,81,88,6.87,ML
34,East London,-33.02,65.91,80,0,4.56,ZA
35,Saint Paul Harbor,57.79,57.2,62,1,8.05,US
36,Bluff,-46.6,39.0,83,80,3.0,NZ
37,Coari,-4.08,87.75,54,98,1.3,BR
38,Emerald,-23.53,55.4,100,40,4.7,AU
39,Caravelas,-17.71,77.97,52,1,6.2,BR
40,Ponta Delgada,37.73,71.6,60,75,5.82,PT
41,Abay,49.63,55.4,93,53,11.48,KZ
42,Vila Velha,-20.33,82.4,54,20,12.75,BR
43,Alenquer,-1.94,84.2,74,75,4.7,BR
44,Lagoa,39.05,69.73,73,11,2.86,PT
45,Tura,25.52,74.64,96,100,4.43,IN
46,Graham,47.05,64.0,88,90,4.7,US
47,Jamestown,42.1,78.01,78,75,8.05,US
48,Vaini,-21.2,57.2,100,20,2.24,TO
49,Bredasdorp,-34.53,57.2,93,0,4.7,ZA
50,Vaasa,63.1,57.99,76,90,6.93,FI
51,George Town,5.41,78.8,94,40,4.7,MY
52,Mahébourg,-20.41,66.2,82,40,19.46,MU
53,Lebu,-37.62,54.18,67,54,3.04,CL
54,Busselton,-33.65,60.01,65,82,22.01,AU
55,Bechem,7.09,78.39,91,60,2.06,GH
56,New Norfolk,-42.78,46.0,84,79,3.4,AU
57,Flinders,-34.58,48.99,82,12,3.0,AU
58,Iqaluit,63.75,50.0,76,90,3.36,CA
59,Khatanga,71.97,49.64,78,100,7.74,RU
60,Ambilobe,-13.2,69.03,75,76,2.48,MG
61,Vaitape,-16.52,77.92,76,43,18.77,PF
62,Laguna,38.42,69.01,72,1,5.82,US
63,Tarakan,3.3,82.99,70,78,3.09,ID
64,Klaksvík,62.23,53.6,76,96,6.93,FO
65,Qaanaaq,77.48,47.55,53,4,4.38,GL
66,Pangody,65.85,51.6,72,4,11.5,RU
67,Jeypore,18.85,76.91,86,100,4.32,IN
68,Isangel,-19.55,68.77,77,1,13.09,VU
69,Kilindoni,-7.91,76.55,73,19,20.76,TZ
70,Bariloche,-41.15,30.2,86,90,11.41,AR
71,Saldanha,-33.01,60.8,72,0,4.7,ZA
72,Maţāy,28.42,93.13,26,0,17.11,EG
73,Vila Franca do Campo,37.72,71.6,60,75,5.82,PT
74,Rincon,32.3,91.99,52,40,3.36,US
75,Touros,-5.2,84.2,54,75,10.29,BR
76,Tuatapere,-46.13,39.0,83,92,3.0,NZ
77,Muros,42.78,77.0,62,0,10.0,ES
78,Souillac,-20.52,66.2,82,40,19.46,MU
79,Cosalá,24.41,88.0,75,48,5.01,MX
80,Egvekinot,66.32,51.04,65,12,1.97,RU
81,Thompson,55.74,75.2,57,40,11.41,CA
82,Gīdam,18.98,78.17,86,100,2.91,IN
83,Havre-St-Pierre,50.23,66.2,63,75,24.16,CA
84,Kavieng,-2.57,82.18,76,3,12.75,PG
85,Kutum,14.2,85.26,35,66,7.56,SD
86,Torbay,47.67,77.0,47,75,20.8,CA
87,Hobart,-42.88,46.0,80,80,8.05,AU
88,Tasiilaq,65.61,42.8,87,75,9.17,GL
89,Ribeira Grande,38.52,75.2,69,40,10.29,PT
90,Muzaffargarh,30.08,87.8,70,20,4.7,PK
91,Yulara,-25.24,46.4,61,0,6.93,AU
92,Pachino,36.72,84.2,39,0,6.93,IT
93,Hermanus,-34.42,55.0,89,0,4.05,ZA
94,Airai,-8.93,53.73,84,35,3.58,TL
95,Liepāja,56.54,59.0,82,0,8.05,LV
96,Mayumba,-3.43,72.28,81,25,6.8,GA
97,Valdagno,45.65,89.01,62,43,3.0,IT
98,Hithadhoo,-0.6,84.25,73,14,9.4,MV
99,Oshkosh,44.02,73.4,64,75,10.29,US
100,Shamkhal,43.06,82.4,45,20,6.71,RU
101,Honchō,41.88,68.95,92,100,1.88,JP
102,Kapit,2.02,75.02,94,99,1.9,MY
103,Charters Towers,-20.1,59.54,93,90,11.1,AU
104,Port Elizabeth,-33.92,62.6,88,20,5.82,ZA
105,Ambunti,-4.24,73.17,98,2,1.16,PG
106,Sapa,5.15,83.14,77,20,6.46,PH
107,Barrow,71.29,33.8,100,90,4.7,US
108,Coahuayana Viejo,18.73,75.2,88,75,3.44,MX
109,Fairbanks,64.84,52.0,93,90,3.36,US
110,Beyneu,45.32,83.21,35,15,9.19,KZ
111,Hammerfest,70.66,48.2,100,75,20.8,NO
112,Kapaa,22.08,71.6,100,75,8.05,US
113,Ulladulla,-35.35,48.2,87,90,8.05,AU
114,Nelson Bay,-32.72,48.0,100,97,1.12,AU
115,Lyuban',52.8,60.64,75,0,10.78,BY
116,Sitka,57.05,57.2,82,90,1.83,US
117,Lavrentiya,65.58,47.32,65,0,2.35,RU
118,Palāsa,18.77,81.23,88,100,9.33,IN
119,Arraial do Cabo,-22.97,78.8,69,0,4.7,BR
120,Narsaq,60.92,73.4,23,40,17.22,GL
121,Severo-Kuril'sk,50.68,49.87,87,88,3.85,RU
122,Laredo,27.51,93.2,44,1,10.29,US
123,Port Hardy,50.7,59.0,82,90,6.93,CA
124,Wana,32.3,79.14,51,1,3.22,PK
125,Ahar,38.48,71.76,60,22,9.33,IR
126,Along,28.17,73.17,87,98,1.32,IN
127,Yumen,40.28,72.32,43,100,11.59,CN
128,Kangaatsiaq,68.31,49.82,69,89,14.45,GL
129,Katsuura,35.13,77.0,91,82,9.48,JP
130,Chokurdakh,70.63,70.65,54,95,4.94,RU
131,Cape Town,-33.93,60.01,87,0,6.93,ZA
132,Conceição da Barra,-18.59,77.85,54,8,6.06,BR
133,Henties Bay,-22.12,66.99,67,0,5.99,NA
134,Avarua,-21.21,73.4,100,10,12.75,CK
135,Vestmannaeyjar,63.44,55.4,82,40,5.82,IS
136,Nome,64.5,50.0,93,75,1.45,US
137,Bambous Virieux,-20.34,66.2,82,40,19.46,MU
138,Labuhan,-6.88,77.02,82,50,7.96,ID
139,Toyoake,35.06,77.0,73,75,10.29,JP
140,Kropotkin,45.44,74.12,57,2,4.07,RU
141,Yellowknife,62.46,66.2,82,75,9.17,CA
142,Tolbazy,54.02,62.6,93,90,8.95,RU
143,Miyako,39.64,68.74,90,100,1.9,JP
144,Cherskiy,68.75,64.27,48,93,8.32,RU
145,Bagdarin,54.43,56.12,90,100,2.55,RU
146,Butaritari,3.07,82.9,76,11,13.98,KI
147,Umba,66.69,61.18,77,37,11.12,RU
148,Bilma,18.69,102.4,17,45,5.91,NE
149,Devarkonda,16.7,84.85,66,100,2.66,IN
150,Amiens,49.9,73.99,40,25,10.29,FR
151,Clyde River,70.47,44.6,100,90,4.7,CA
152,Noumea,-22.28,69.01,77,90,1.12,NC
153,Prome,18.82,77.11,87,100,4.99,MM
154,Cap-Haïtien,19.76,83.5,72,42,12.08,HT
155,Karoi,-16.81,57.52,50,10,3.31,ZW
156,Kodinsk,58.69,55.36,86,4,0.94,RU
157,Oranjemund,-28.55,64.47,48,0,8.37,NA
158,Palmer,42.16,84.0,65,75,4.7,US
159,Nagato,34.38,77.0,94,75,4.7,JP
160,Hoima,1.44,66.33,87,78,0.47,UG
161,Novopskov,49.55,67.87,75,23,9.64,UA
162,Santa Cruz del Sur,20.71,88.2,62,36,7.34,CU
163,Provideniya,64.38,51.1,65,0,4.29,RU
164,Upernavik,72.79,48.88,62,0,11.74,GL
165,Codrington,-38.27,46.29,83,80,4.14,AU
166,Geraldton,-28.77,53.6,87,0,4.7,AU
167,Gayny,60.31,65.05,79,100,5.61,RU
168,Mossamedes,-15.2,71.42,61,0,6.96,AO
169,Chui,-33.7,64.74,98,100,6.22,UY
170,Whitehorse,60.72,55.0,93,75,3.36,CA
171,Fare,-16.7,77.52,77,54,20.49,PF
172,Namatanai,-3.67,79.03,81,41,7.96,PG
173,Santa Cruz de la Sierra,-17.8,86.0,62,75,20.8,BO
174,Phek,25.67,63.32,100,92,1.9,IN
175,San Patricio,19.22,89.6,75,40,6.93,MX
176,Sur,22.57,86.32,67,84,21.05,OM
177,Coquimbo,-29.95,57.2,67,75,6.93,CL
178,Mar del Plata,-38.0,50.0,93,90,27.51,AR
179,Haines Junction,60.75,53.33,69,100,3.49,CA
180,Pathein,16.78,78.91,88,100,5.26,MM
181,Labuan,5.28,80.6,88,20,3.36,MY
182,Dzilam González,21.28,94.91,45,2,0.74,MX
183,Baruun-Urt,46.68,70.56,44,80,7.02,MN
184,Mookane,-23.69,57.96,36,0,1.36,BW
185,Craig,40.52,71.6,40,1,15.88,US
186,Upata,8.01,86.0,72,84,1.01,VE
187,Avigliana,45.08,82.0,61,75,3.36,IT
188,Alugan,12.22,81.68,77,1,2.1,PH
189,Hualmay,-11.1,65.28,69,61,7.74,PE
190,Jiaocheng,24.68,78.12,81,21,2.13,CN
191,La Asuncion,11.03,84.02,69,45,14.9,VE
192,Muscat,23.61,84.2,83,73,6.93,OM
193,Bayevo,53.28,58.82,82,10,5.21,RU
194,Dunedin,-45.87,39.0,82,29,1.99,NZ
195,La Ronge,55.1,71.6,73,40,12.75,CA
196,Zhicheng,30.3,79.0,88,100,4.81,CN
197,Fort Frances,48.6,75.0,52,1,3.36,CA
198,Teruel,40.67,80.6,24,40,14.99,ES
199,Port-Gentil,-0.72,80.6,74,40,13.22,GA
200,Angoche,-16.23,70.07,69,1,10.87,MZ
201,Salalah,17.02,80.6,94,90,8.05,OM
202,Ciudad Bolivar,8.12,87.35,60,30,6.67,VE
203,North Bend,43.41,64.0,100,90,9.17,US
204,Huarmey,-10.07,66.52,68,59,10.85,PE
205,Waimana,-38.15,52.0,71,31,3.0,NZ
206,Santa Ana,33.75,69.01,82,90,5.82,US
207,São Filipe,14.9,78.89,81,80,10.38,CV
208,Wanning,18.8,81.77,81,3,7.31,CN
209,Norman Wells,65.28,57.2,87,75,8.05,CA
210,Akdepe,42.06,93.2,26,100,13.87,TM
211,Abancay,-13.63,69.53,34,13,5.37,PE
212,Saryg-Sep,51.5,55.65,89,82,2.86,RU
213,Concepción del Oro,24.63,69.66,48,80,5.75,MX
214,Hong Kong,22.29,86.0,74,3,8.01,HK
215,Gorontalo,0.54,75.16,88,66,3.65,ID
216,Ulaangom,49.98,65.77,56,92,7.11,MN
217,North Platte,41.12,82.99,65,1,13.87,US
218,Carnarvon,-24.87,60.8,100,0,6.93,AU
219,Acapulco de Juárez,16.86,86.0,70,75,2.75,MX
220,Pisco,-13.7,64.4,72,11,8.05,PE
221,Shingū,33.73,73.65,90,100,4.76,JP
222,Fortuna,40.6,57.99,100,90,5.82,US
223,Ukiah,39.15,66.99,72,1,8.05,US
224,San Quintín,30.48,68.92,75,93,10.29,MX
225,Rundu,-17.93,71.6,17,0,6.93,NA
226,Great Falls,47.5,84.0,34,1,9.17,US
227,Pangnirtung,66.15,62.6,55,90,17.22,CA
228,Cockburn Town,21.46,86.0,70,40,16.11,TC
229,Rocha,-34.48,66.76,92,100,7.61,UY
230,Strezhevoy,60.73,55.4,66,27,2.24,RU
231,Ahipara,-35.17,56.44,70,43,15.99,NZ
232,Shādegān,30.65,102.2,63,1,6.93,IR
233,Bethel,41.37,84.99,69,75,6.93,US
234,Arbazh,57.68,63.1,89,43,2.35,RU
235,Zhigansk,66.77,58.17,73,39,10.2,RU
236,Simao,22.79,65.26,95,95,2.64,CN
237,Pevek,69.7,51.17,50,99,6.29,RU
238,Kidal,18.44,102.88,19,10,3.91,ML
239,Botwood,49.15,80.01,42,76,1.01,CA
240,Santander,43.46,73.99,78,90,4.7,ES
241,Redlands,34.06,75.99,60,20,3.36,US
242,Longyearbyen,78.22,48.2,76,75,13.87,SJ
243,Bluefield,37.27,82.99,78,40,9.17,US
244,Berlevåg,70.86,50.0,93,75,14.99,NO
245,Naze,28.37,78.8,94,20,2.24,JP
246,San Cristobal,7.77,87.8,48,40,4.7,VE
247,Massaguet,12.48,80.6,78,20,10.29,TD
248,Tilichiki,60.47,45.91,85,95,3.38,RU
249,Dimbokro,6.65,78.87,89,74,5.68,CI
250,Chapais,49.78,71.6,43,40,4.7,CA
251,Polyanka,50.26,63.45,72,0,7.18,UA
252,Borogontsy,62.67,57.09,76,70,8.1,RU
253,Bathurst,-33.42,37.99,84,81,2.13,AU
254,Saint-Joseph,-21.37,68.0,64,90,8.05,RE
255,Saryozek,44.36,69.57,42,52,12.71,KZ
256,Benguela,-12.58,72.48,71,0,5.19,AO
257,Aklavik,68.22,44.6,81,75,5.82,CA
258,Padang,-0.95,73.4,100,75,3.36,ID
259,Daoukro,7.06,79.29,88,78,2.59,CI
260,Richards Bay,-28.78,63.55,76,0,8.19,ZA
261,Ayagoz,47.97,67.48,57,99,6.85,KZ
262,Moree,-29.47,44.6,81,99,8.05,AU
263,Seoul,37.57,71.6,94,90,1.19,KR
264,Bilibino,68.05,62.87,55,99,3.02,RU
265,Marion,39.77,77.0,88,90,10.29,US
266,Talnakh,69.49,57.2,71,1,22.37,RU
267,Saskylakh,71.92,46.04,92,100,12.41,RU
268,Mrganush,40.03,82.4,32,20,24.16,AM
269,Udachny,66.42,55.4,100,90,6.71,RU
270,Riyadh,24.69,105.8,12,9,8.05,SA
271,Korla,41.76,77.0,84,96,3.0,CN
272,Ambon City,-3.7,80.6,78,29,5.82,ID
273,Waipawa,-41.41,53.6,62,0,13.87,NZ
274,Pochutla,15.74,86.0,66,75,4.03,MX
275,Wenatchee,47.42,81.0,44,1,16.11,US
276,Kaitangata,-46.28,37.99,74,77,15.01,NZ
277,Portland,45.52,68.0,77,90,3.36,US
278,Constantine,36.37,96.8,16,20,11.41,DZ
279,Canguçu,-31.39,79.0,69,100,3.36,BR
280,Faanui,-16.48,77.09,78,48,18.88,PF
281,Talaya,61.38,52.03,72,25,7.09,RU
282,Baharly,38.44,96.62,30,2,10.85,TM
283,Bintulu,3.17,78.8,94,40,5.82,MY
284,Meulaboh,4.14,77.38,86,100,3.31,ID
285,Enniscorthy,52.5,66.99,82,40,14.99,IE
