,City,Lat,Lng,Max Temp,Humidity,Cloudliness,Wind Speed,Country,Date
0,Cumana,10.46,-64.18,84.04,69,92,6.44,VE,1595436790
1,Saint-Philippe,-21.36,55.77,68.0,64,90,8.05,RE,1595436791
2,Puerto Ayora,-0.74,-90.35,75.2,69,75,16.11,EC,1595436296
3,Kahului,20.89,-156.47,75.0,64,1,6.93,US,1595436696
4,Ushuaia,-54.8,-68.3,35.6,74,84,3.36,AR,1595436918
5,Sayyan,15.17,44.32,68.59,53,85,6.44,YE,1595437119
6,Adrar,20.5,-10.07,111.02,9,9,8.7,MR,1595437119
7,Leningradskiy,69.38,178.42,57.4,48,100,4.03,RU,1595436645
8,Dikson,73.51,80.55,40.98,92,1,5.84,RU,1595436908
9,Khani,41.96,42.96,75.2,78,40,9.17,GE,1595437120
10,Atuona,-9.8,-139.03,79.41,76,22,19.64,PF,1595436399
11,Rawson,-43.3,-65.1,42.35,64,100,13.71,AR,1595436961
12,Christchurch,-43.53,172.63,46.0,81,2,25.28,NZ,1595437120
13,Bubaque,11.28,-15.83,80.87,81,31,11.21,GW,1595436738
14,Ginda,30.69,78.49,62.64,78,22,2.73,IN,1595437121
15,Port Alfred,-33.59,26.89,62.67,84,0,4.36,ZA,1595437121
16,Carballo,43.21,-8.69,87.8,57,20,5.82,ES,1595437121
17,Poconé,-16.26,-56.62,95.79,17,0,7.43,BR,1595437121
18,Hasaki,35.73,140.83,75.2,94,75,4.7,JP,1595436468
19,Nikolskoye,59.7,30.79,66.2,55,20,17.9,RU,1595436534
20,Castro,-24.79,-50.01,73.47,48,67,6.08,BR,1595436441
21,Plettenberg Bay,-34.05,23.37,59.61,78,0,3.44,ZA,1595437122
22,Hilo,19.73,-155.09,69.8,73,1,5.82,US,1595436554
23,Rikitea,-23.12,-134.97,67.39,57,100,13.6,PF,1595436896
24,Orcopampa,-15.27,-72.34,57.7,29,0,4.18,PE,1595437122
25,Punta Arenas,-53.15,-70.92,26.6,92,75,8.05,CL,1595437118
26,Chicama,-7.84,-79.15,71.98,56,19,10.78,PE,1595436730
27,Camacupa,-12.02,17.48,66.88,27,0,4.21,AO,1595437122
28,Inhambane,-23.86,35.38,66.2,63,20,9.17,MZ,1595437122
29,Mataura,-46.19,168.86,39.0,83,96,3.0,NZ,1595437122
30,Albany,42.6,-73.97,84.0,56,46,3.98,US,1595436910
31,Wakefield,53.68,-1.5,66.99,60,98,1.99,GB,1595437071
32,Praia da Vitória,38.73,-27.07,75.2,60,40,5.06,PT,1595437123
33,Kita,13.03,-9.49,81.63,81,88,6.87,ML,1595437123
34,East London,-33.02,27.91,65.91,80,0,4.56,ZA,1595436890
35,Saint Paul Harbor,57.79,-152.41,57.2,62,1,8.05,US,1595436890
36,Bluff,-46.6,168.33,39.0,83,80,3.0,NZ,1595436901
